page	lines	blanklines	sentences	words
319	46	3	18	389
320	49	4	17	464
321	46	4	27	395
322	46	4	16	411
323	47	4	18	392
324	45	5	18	387
325	50	5	56	479
326	49	4	31	445
327	47	3	43	396
328	48	5	42	437
329	44	5	23	378
330	47	3	31	436
331	51	9	45	390
332	50	6	35	371
333	51	5	21	437
334	45	3	17	392
335	49	6	43	432
336	48	5	37	357
337	47	4	25	372
338	49	5	54	434
339	49	5	43	491
340	50	4	41	500
341	45	3	26	438
342	49	3	51	447
343	44	4	27	397
344	45	3	16	371
345	45	2	34	414
346	49	5	60	432
347	46	2	28	392
348	45	4	19	380
349	49	7	49	431
350	47	6	30	407
351	46	4	27	433
352	45	2	47	446
353	44	4	19	388
354	44	4	25	376
355	48	3	26	470
356	47	5	24	380
357	45	5	18	401
358	49	6	38	373
359	46	5	24	379
360	49	4	35	400
361	44	2	20	372
362	44	2	23	409
363	44	3	19	422
364	45	4	20	378
365	45	2	29	431
366	44	2	17	404
367	45	4	15	404
368	47	3	24	448
369	45	6	19	389
370	46	3	25	408
371	44	3	15	396
372	43	5	27	317
373	44	7	75	433
374	50	10	43	338
375	53	10	64	448
376	44	4	41	389
377	53	9	81	428
378	44	2	26	404
379	44	6	37	366
380	42	1	49	407
381	45	7	27	365
382	47	6	20	417
383	49	8	46	397
384	49	4	33	373
385	43	3	33	366
386	50	2	55	401
387	51	2	53	375
388	49	6	39	328
389	53	5	103	399
390	50	4	70	401
391	51	7	56	398
392	48	5	36	472
393	47	8	27	385
394	45	2	42	418
395	47	6	28	399
396	47	4	33	346
397	54	2	84	448
398	43	2	14	387
399	57	5	54	387
400	63	16	57	475
401	64	14	71	486
402	54	11	54	457
403	36	1	14	328
404	14	5	15	73
405	34	1	17	286
406	42	1	15	336
407	39	1	18	315
408	38	1	17	330
409	46	1	25	426
410	46	6	29	391
411	49	4	33	521
412	45	1	27	475
413	46	8	9	408
414	45	1	22	481
415	43	1	20	396
416	35	4	65	326
417	38	3	54	318
418	38	2	78	358
419	40	4	69	328
420	42	3	65	314
421	44	5	54	310
422	44	8	78	328
423	42	3	85	311
424	37	3	63	344
425	41	5	69	327
426	37	3	63	332
427	43	1	75	334
428	40	3	77	346
429	40	3	72	318
430	39	2	79	349
431	42	4	60	343
432	53	4	54	312
433	49	3	71	344
434	42	5	56	320
435	40	3	73	306
436	48	12	76	313
437	44	7	64	324
438	40	5	74	339
439	38	3	75	337
440	44	5	58	325
441	38	3	74	352
442	38	1	71	350
443	43	9	54	279
444	44	7	63	312
445	39	4	77	346
446	49	14	79	335
447	39	4	81	347
448	47	3	85	345
449	40	5	77	337
450	44	8	68	348
451	43	6	66	322
452	39	4	74	333
453	48	13	66	309
454	42	4	57	335
455	40	2	89	360
456	40	4	73	361
457	46	4	59	323
458	37	1	64	338
459	43	6	59	297
460	44	3	68	318
461	39	4	77	345
462	46	4	69	367
463	38	1	59	298
464	19	3	23	130
465	67	0	3	338
466	79	1	3	356
467	72	1	0	410
468	66	1	7	382
469	64	1	9	382
470	85	1	2	358
471	64	1	3	346
472	73	1	2	363
473	64	2	2	365
474	64	1	31	363
475	60	1	15	358
